question,response
How to place orders in Amazon,"To place an order on Amazon, start by visiting the website or downloading the Amazon Shopping app for Android or iPhone. Browse and select the items you want, then add them to your shopping cart. After reviewing your cart, proceed to checkout. Sign in to your Amazon account using your mobile number or email, or create a new account if you are a first-time user. Enter your delivery address or choose a Pickup Store if available, and opt for gift-wrapping or a gift message if needed. Select a payment method, provide the required details, and review your order. Finally, place the order and complete the payment to finalize the purchase. Note that delivery details, including speed, dates, and address, cannot be changed once the order is placed. For more information about ordering, delivery, or related topics, refer to the Amazon Help pages."
Why am I unable to place orders?,"Order placement issues on Amazon can arise due to several reasons. These include payment declines, where you may need to check and resolve payment issues; items being out of stock; technical or internet connectivity problems; undeliverable addresses for the selected location or pin code; quantity limits on certain products; or delays caused by combining Fulfilled by Amazon and seller-fulfilled items in a single order. Ensure all details are accurate and check the respective issues for resolution to complete your order."
How can I change or modify the quantity of orders in the cart?,"To adjust the quantity of items not yet added to your cart, select ""Add to Cart"" for the item and use the ""Quantity"" dropdown to choose the desired amount. For items already in your cart, go to the Cart page, use the dropdown next to the item title to update the quantity, and the total order amount will adjust automatically. If the requested quantity is unavailable, an error message will be displayed."
Can I change or modify orders that are already placed?,"You would not be able to change or modify the number of items once you have already placed an order. You can place another fresh order with the desired modifications. However, you can change your shipping preferences in Your Account at any time after placing your order as long as the order hasn't entered the shipping process yet."
How to place Bulk Orders?,"You can bulk order new products from Amazon Business. To order, select the following link:https://www.amazon.in/ab/bulk-order/.You can also access Bulk Ordering by hovering over your Account for Business menu and selecting Bulk Ordering from the drop-down menu. Enter the ISBNs or ASINs into the online form, or download a copy of the form to fill out and upload later.Amazon Business offers the option to bulk buy products for business customers at no extra cost. You can also get an option of quantity discount."
How to Update Delivery instructions?,"You can provide delivery instructions for your parcel through various points such as your address book, during checkout, on the order confirmation page, or via the progress tracker. If available, select ""Update delivery instructions"" under your delivery address, modify your instructions in the popup window, and save them. While Amazon strives to follow your instructions, it cannot always guarantee that carriers will fulfill specific requests. For more details, refer to the ""How to update delivery instructions"" guide."
How to change the payment method?,You can add or update your payment methods by selecting the payments options section in Your Account.
What is Cash on Delivery?,"Cash on Delivery is one of the payment methods for making purchases on Amazon.in. When you select Cash on Delivery as your payment method, you don't have to make any advance payment. You pay for your order only when you receive it. Select this link to know more about Cash on Delivery."
How to cancel orders?,"To cancel an order, go to the Your Orders section in your account. For orders not yet out for delivery, select the item, click Cancel items, optionally provide a reason, and confirm cancellation. For orders already out for delivery, select Request cancellation, and the items will be returned for a refund if paid. If contacted for delivery, you can refuse the order. For additional details on cancellations, returns, refunds, or address management, refer to the provided help links."
How to place gift orders?,"You can choose to gift-wrap any item from your shopping cart as long as it is fulfilled by Amazon. To do this, check the This will be a gift box next to the item that you want gift-wrapped. Alternatively, check the box next to Ordering a gift? during checkout. The gift options show on the Delivery & Payment page.Products eligible for this service can be gift wrapped for just ?30.Visit Gift Order to know more."
